"name_1006","GO_IDs","F0","F4","Healthy"
"cytoplasmic translation","GO:0002181","P62979","P62979","P62979"
"cytoplasmic ubiquitin ligase complex","GO:0000153","P55072","P55072","P55072"
"cytoplasmic vesicle","GO:0031410","P02792, P02794, Q03135, O00159, Q00610, P04083, P02647","P02792, P02794, P08246, Q03135, O00159, P04083","P02792, P02794, P08246, Q03135, O00159, P02647"
"cytoplasmic vesicle membrane","GO:0030659","O00159, Q00610, P04083","O00159, P04083","O00159"
"cytoskeletal motor activity","GO:0003774","O00159","O00159","Q9Y623, P13535, Q9UKX3, P12882, O00159"
"cytoskeletal protein binding","GO:0008092","P02511, P07355","P02511, P07355, P02730","P02511, P09493, P07355"
"cytoskeleton","GO:0005856","P63267, Q562R1, P08670, Q9BQE3, P68366, P04264, P07437, Q9BUF5, Q8IYT4, Q00610, P13645, Q14764, P05783","P63267, Q562R1, P04264, P08670, Q9BQE3, P68366, P35527, Q14764, P13645, Q8IYT4, P07437, Q9BUF5","P63267, Q562R1, P08670, P04264, Q9BQE3, P09493, P35527, P13645, P68032, P68366, Q8IYT4, P07437, P05783, Q9BUF5"
"cytoskeleton organization","GO:0007010",NA,"P04216","P09493"
"cytoskeleton-dependent intracellular transport","GO:0030705","Q9BQE3, P07437","Q9BQE3, P07437","Q9BQE3, P07437"
"cytosol","GO:0005829","P68871, P02792, P63267, P69905, P02794, P49327, P02511, P07355, P00326, P08670, P00966, P68366, Q9NZN4, P08758, P60900, P04040, P00325, O14818, P62979, P04264, P25789, P25786, P07437, Q9HAV0, O00159, Q00266, P49721, P28070, Q00610, P00439, P28066, P20618, P13645, Q9ULA0, P55072, Q14764, O75874, P07195, P04083, Q05469, P05783, P00338, P25788, P02647, P49720, P25787","P68871, P02792, P63267, P69905, P02794, P02511, P62979, P08246, P07355, P00326, P04264, P08670, P08758, P49327, P60900, P68366, P35527, Q14764, O14818, Q9NZN4, P04040, P00325, P25789, P13645, P28070, O00159, P55072, P07437, P04083, P49721, Q9HAV0, P25786, P20618, P28066, P25788","P68871, P05976, P02792, P13535, P69905, P63267, P02794, P02511, P00966, P08246, P08670, P06732, P04264, P49327, P04040, P09493, P00326, P07355, P35527, P60900, P13645, P68032, Q9NZN4, P68366, O14818, P25789, P08758, P25786, P28070, P28066, P62979, P07195, O00159, P07437, P02647, P28072, P49721, P00338, P05783, P20618, Q16851, P00325, P55072"
"cytosolic ribosome","GO:0022626","P62979","P62979","P62979"
"cytosolic small ribosomal subunit","GO:0022627","P62979","P62979","P62979"
"damaged DNA binding","GO:0003684","P16104","P16104","P16104"
"defense response","GO:0006952","P01871, P00738, P05164","P01871, P05164, P00738","P01871, P00738, P05164"
"defense response to Gram-negative bacterium","GO:0050829","P01871, P02788","P01871, P02788, P20160","P01871, P02788, P20160"
"defense response to Gram-positive bacterium","GO:0050830",NA,"P16671",NA
"defense response to bacterium","GO:0042742","P00738, P02788, P05164","P05164, P00738, P02788, P08246, P20160","P00738, P05164, P02788, P08246, P20160"
"defense response to fungus","GO:0050832","P05164","P05164, P08246","P05164, P08246"
"defense response to virus","GO:0051607",NA,"P20160","P20160"
"dendrite","GO:0030425",NA,"P04216",NA
"dendritic spine","GO:0043197","P02511","P02511","P02511"
"deubiquitinase activator activity","GO:0035800","P55072","P55072","P55072"
"diacylglycerol catabolic process","GO:0046340","Q05469",NA,NA
"diaphragm development","GO:0060539","P00966",NA,"P00966"
"dimeric IgA immunoglobulin complex","GO:0071750",NA,"P01591","P01591"
"disordered domain specific binding","GO:0097718","Q00610",NA,NA
"dosage compensation by inactivation of X chromosome","GO:0009048","O75367","O75367",NA
"double-strand break repair","GO:0006302","P16104, P55072","P16104, P55072","P16104, A2RUB1, P55072"
"double-strand break repair via homologous recombination","GO:0000724","P16104","P16104","P16104"
"double-stranded RNA binding","GO:0003725","P08670, Q00610","P08670","Q9Y623, P08670"
"early endosome","GO:0005769","Q16853, P07355, P02788, Q9NZN4, P04083, P02647","Q16853, P02788, P07355, Q9NZN4, P04083","P02788, Q16853, P07355, Q9NZN4, P02647"
"early endosome membrane","GO:0031901","Q03135, P04083","Q03135, P04083","Q03135"
"embryo implantation","GO:0007566","P84243, P98160, P07942","P84243, P98160, P07942","P84243, P98160, P07942"
"endocytic vesicle","GO:0030139","Q9NZN4, P02647","Q9NZN4","Q9NZN4, P02647"
"endocytic vesicle lumen","GO:0071682","P68871, P69905, P00738, P02647","P68871, P69905, P00738","P68871, P69905, P00738, P02647"
"endocytic vesicle membrane","GO:0030666","Q03135, P62979","P62979, Q03135, P16671","P62979, Q03135"
"endocytosis","GO:0006897","Q9NZN4, O00159","Q9NZN4, O00159","Q9NZN4, O00159"
"endoderm development","GO:0007492","P11047","P11047","P11047"
"endodermal cell differentiation","GO:0035987","P12109, P07942, P02751","P12109, P02751, P04004, P07942","P12109, P07942, P02751"
"endopeptidase activity","GO:0004175","P60900","P08246, P60900","P08246, P60900, P28072"
"endopeptidase inhibitor activity","GO:0004866","P01023","P01023","P01023"
"endoplasmic reticulum","GO:0005783","P02675, Q16853, P02768, P02671, Q9NQC3, P12109, Q03135, P62979, P04275, P07099, P33121, Q05639, P55072, O95197","P02675, P02671, Q16853, P02768, P62979, Q9NQC3, Q03135, P12109, P07099, P04275, P04004, O95197, P55072, P10620, P33121, P04216","P02675, P02768, Q16853, P02671, P12109, Q9NQC3, O14983, P07099, P04275, P62979, Q03135, P55072"
"endoplasmic reticulum lumen","GO:0005788","P02768, P02679, P02671, P12110, P12109, P12111, P11047, P07942, P02751, P55268, P13611, P02647","P02679, P02671, P02768, P12110, P12109, P12111, P02751, P11047, P07942, P13611","P02768, P02679, P12110, P02671, P12109, P12111, P11047, P07942, P13611, P55268, P02751, P02647"
"endoplasmic reticulum membrane","GO:0005789","Q9NQC3, Q03135, P62979, P07099, P33121, Q05639, P55072, O95197","P62979, Q9NQC3, Q03135, P07099, O95197, P55072, P10620, P33121","Q9NQC3, O14983, P07099, P62979, Q03135, P55072"
"endoplasmic reticulum organization","GO:0007029","Q9NQC3","Q9NQC3","Q9NQC3"
"endoplasmic reticulum to Golgi vesicle-mediated transport","GO:0006888","P55072","P55072","P55072"
"endoplasmic reticulum tubular network","GO:0071782","Q9NQC3","Q9NQC3","Q9NQC3"
"endoplasmic reticulum tubular network formation","GO:0071787","Q9NQC3, O95197","Q9NQC3, O95197","Q9NQC3"
"endoplasmic reticulum tubular network membrane organization","GO:1990809","Q9NQC3, O95197","Q9NQC3, O95197","Q9NQC3"
"endoplasmic reticulum tubular network organization","GO:0071786","Q9NQC3, O95197","Q9NQC3, O95197","Q9NQC3"
"endoplasmic reticulum unfolded protein response","GO:0030968","P55072","P55072","P55072"
"endoplasmic reticulum-Golgi intermediate compartment","GO:0005793","P02751","P02751","O14983, P02751"
"endosome","GO:0005768","P07355, Q9NZN4, Q03135, Q00610, P04083","P07355, Q03135, Q9NZN4, P04083, P08962","P07355, Q9NZN4, Q03135"
"endosome lumen","GO:0031904",NA,"P08962",NA
"endosome membrane","GO:0010008","Q9NZN4, P62979, P04083","P62979, Q9NZN4, P04083, P08962","Q9NZN4, P62979"
"endosome to lysosome transport via multivesicular body sorting pathway","GO:0032510","P55072","P55072","P55072"
"endosome to melanosome transport","GO:0035646",NA,"P08962",NA
"endothelial cell migration","GO:0043542","P02751","P02751","P02751"
"endothelial cell proliferation","GO:0001935","Q03135, P02647","Q03135","Q03135, P02647"
"endothelial microparticle","GO:0072563","P08758","P08758","P08758"
"energy derivation by oxidation of organic compounds","GO:0015980",NA,NA,"Q16851"
"energy homeostasis","GO:0097009","P12109","P12109, P16671","P12109"
"energy reserve metabolic process","GO:0006112","P12109","P12109","P12109"
