"name_1006","GO_IDs","Proteins","NumProteins_Healthy","ONTOLOGY"
"toxic substance binding","GO:0015643","ALBU - ASSY - CAP7",3,"MF"
"transferase activity","GO:0016740","KCRM - FAS - UGPA",3,"MF"
"vesicle","GO:0031982","TBA1C - ANXA2 - RS27A",3,"CC"
"zinc ion binding","GO:0008270","ADH1G - RS27A - ADH1B",3,"MF"
"DNA damage response","GO:0006974","H2AX - TERA",2,"BP"
"DNA repair","GO:0006281","H2AX - TERA",2,"BP"
"GTPase activity","GO:0003924","TBB5 - TBB6",2,"MF"
"IgG immunoglobulin complex","GO:0071735","IGHA1 - IGHG2",2,"CC"
"L-lactate dehydrogenase activity","GO:0004459","LDHB - LDHA",2,"MF"
"MHC class I protein binding","GO:0042288","TBB5 - TERA",2,"MF"
"P-body","GO:0000932","PSA6 - PSA4",2,"CC"
"adherens junction","GO:0005912","ANXA2 - K1C18",2,"CC"
"alcohol dehydrogenase (NAD+) activity","GO:0004022","ADH1G - ADH1B",2,"MF"
"all-trans-retinol dehydrogenase (NAD+) activity","GO:0004745","ADH1G - ADH1B",2,"MF"
"astrocyte development","GO:0014002","VIME - LAMB2",2,"BP"
"autolysosome","GO:0044754","FRIL - FRIH",2,"CC"
"autophagosome","GO:0005776","FRIL - FRIH",2,"CC"
"azurophil granule","GO:0042582","PERM - CAP7",2,"CC"
"calcium ion transport","GO:0006816","AT2A1 - CAV1",2,"BP"
"calcium-dependent phospholipid binding","GO:0005544","ANXA2 - ANXA5",2,"MF"
"calcium-dependent protein binding","GO:0048306","A2MG - ANXA2",2,"MF"
"canonical Wnt signaling pathway","GO:0060070","CO6A1 - CAV1",2,"BP"
"carbohydrate binding","GO:0030246","K2C1 - CSPG2",2,"MF"
"carbon dioxide transport","GO:0015670","HBB - HBA",2,"BP"
"carboxylic acid metabolic process","GO:0019752","LDHB - LDHA",2,"BP"
"cardiac muscle contraction","GO:0060048","TPM1 - ACTC",2,"BP"
"caveola","GO:0005901","EHD2 - CAV1",2,"CC"
"caveola assembly","GO:0070836","CO6A1 - CAV1",2,"BP"
"cell division","GO:0051301","TBA1C - TBB5",2,"BP"
"cell migration","GO:0016477","LAMC1 - LAMB1",2,"BP"
"cell morphogenesis","GO:0000902","CO6A1 - LAMB2",2,"BP"
"cell population proliferation","GO:0008283","H33 - CAV1",2,"BP"
"cell-cell adhesion","GO:0098609","ANXA2 - K1C18",2,"BP"
"cellular defense response","GO:0006968","CD5L - LG3BP",2,"BP"
"cellular response to amino acid stimulus","GO:0071230","ASSY - CO6A1",2,"BP"
"cellular response to lipopolysaccharide","GO:0071222","ASSY - VIME",2,"BP"
"cellular response to misfolded protein","GO:0071218","CAV1 - TERA",2,"BP"
"centrosome","GO:0005813","H2AX - PSA1",2,"CC"
"cholesterol binding","GO:0015485","CAV1 - APOA1",2,"MF"
"cholesterol metabolic process","GO:0008203","CATA - APOA1",2,"BP"
"cholesterol transport","GO:0030301","CAV1 - APOA1",2,"BP"
"chromatin","GO:0000785","H2AX - H33",2,"CC"
"circadian rhythm","GO:0007623","ASSY - CO6A1",2,"BP"
"collagen fibril organization","GO:0030199","CO6A1 - ANXA2",2,"BP"
"complement activation, classical pathway","GO:0006958","IGHA1 - IGHG2",2,"BP"
"contractile muscle fiber","GO:0043292","MYL1 - CRYAB",2,"CC"
"copper ion binding","GO:0005507","ALBU - AOC3",2,"MF"
"cytoplasmic ribonucleoprotein granule","GO:0036464","MYH1 - TBB5",2,"CC"
"cytoskeleton-dependent intracellular transport","GO:0030705","TBA1C - TBB5",2,"BP"
"defense response to fungus","GO:0050832","PERM - ELNE",2,"BP"
"double-stranded RNA binding","GO:0003725","MYH4 - VIME",2,"MF"
"endocytic vesicle","GO:0030139","EHD2 - APOA1",2,"CC"
"endocytic vesicle membrane","GO:0030666","RS27A - CAV1",2,"CC"
"endocytosis","GO:0006897","EHD2 - MYO1C",2,"BP"
"endoplasmic reticulum-Golgi intermediate compartment","GO:0005793","AT2A1 - FINC",2,"CC"
"endosome membrane","GO:0010008","EHD2 - RS27A",2,"CC"
"endothelial cell proliferation","GO:0001935","CAV1 - APOA1",2,"BP"
"erythrocyte development","GO:0048821","HBB - HBA",2,"BP"
"extracellular matrix binding","GO:0050840","PGS2 - NID1",2,"MF"
"extracellular matrix disassembly","GO:0022617","ELNE - LAMC1",2,"BP"
"ferric iron binding","GO:0008199","FRIL - FRIH",2,"MF"
"ferrous iron binding","GO:0008198","FRIL - FRIH",2,"MF"
"filopodium","GO:0030175","ACTH - ACTC",2,"CC"
"glial cell migration","GO:0008347","CSPG2 - CAP7",2,"BP"
