"name_1006","GO_IDs","Proteins","NumProteins_F0","ONTOLOGY"
"iron ion binding","GO:0005506","FRIL - HBA - FRIH - TRFL - PH4H",5,"MF"
"lipid binding","GO:0008289","ALBU - TERA - ANXA1 - APOA1 - ANXA6",5,"MF"
"membrane raft","GO:0045121","ANXA2 - CAV1 - TBB5 - MYO1C - LDHB",5,"CC"
"microtubule","GO:0005874","TBA1C - TBA4A - TBB5 - TBB6 - KATL2",5,"CC"
"microtubule cytoskeleton","GO:0015630","TBA1C - TBA4A - TBB5 - TBB6 - KATL2",5,"CC"
"mitotic cell cycle","GO:0000278","TBA1C - TBA4A - TBB5 - TBB6 - CLH1",5,"BP"
"nucleosome","GO:0000786","H4 - H2AX - H37 - H33 - H2AY",5,"CC"
"protein homodimerization activity","GO:0042803","CRYAB - RTN4 - CATA - IDHC - APOA1",5,"MF"
"protein-containing complex binding","GO:0044877","CRYAB - CAV1 - TBB5 - GBB4 - TERA",5,"MF"
"response to xenobiotic stimulus","GO:0009410","ASSY - CO6A1 - PGBM - CATA - ACSL1",5,"BP"
"structural constituent of chromatin","GO:0030527","H4 - H2AX - H37 - H33 - H2AY",5,"MF"
"structural constituent of cytoskeleton","GO:0005200","VIME - TBA1C - TBA4A - TBB5 - TBB6",5,"MF"
"tertiary granule lumen","GO:1904724","HBB - FRIH - HPT - TRFL - IDHC",5,"CC"
"ubiquitin protein ligase binding","GO:0031625","RTN4 - RS27A - TBB5 - TERA - PSA3",5,"MF"
"angiogenesis","GO:0001525","ANXA2 - PGBM - CAV1 - FINC",4,"BP"
"antibacterial humoral response","GO:0019731","IGHM - TRFL - IGHA1 - IGHG2",4,"BP"
"autophagy","GO:0006914","CO6A1 - FINC - CLH1 - TERA",4,"BP"
"blood coagulation, fibrin clot formation","GO:0072378","FIBB - FIBG - FIBA - FINC",4,"BP"
"cadherin binding","GO:0045296","FAS - RTN4 - IDHC - LDHA",4,"MF"
"calcium-dependent phospholipid binding","GO:0005544","ANXA2 - ANXA5 - ANXA1 - ANXA6",4,"MF"
